Event{id=3, msg='null', date=28.10.2022 20:30:14}
Event [id=3, msg=null, date=28.10.2022 21:47:26]
Event [id=4, msg=null, date=28.10.2022 21:47:50]
Event [id=4, msg=null, date=28.10.2022 22:00:48]
Event [id=3, msg=null, date=28.10.2022 22:01:45]
Event [id=3, msg=null, date=28.10.2022 22:47:45]
Event [id=3, msg=null, date=28.10.2022 22:49:38]
Event [id=4, msg=null, date=28.10.2022 22:50:46]
Event [id=3, msg=null, date=28.10.2022 22:52:13]
Event [id=3, msg=null, date=28.10.2022 22:58:04]
Event [id=3, msg=null, date=28.10.2022 22:59:43]
Event [id=3, msg=null, date=28.10.2022 23:00:36]
Event [id=1052502609, msg=null, date=28.10.2022 23:01:33]
Event [id=725859187, msg=null, date=28.10.2022 23:01:46]
